transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
1720,"October 10, 2022",8:51:00,28,Female,56,Beauty,3,500,190,1500
415,"January 5, 2022",9:59:00,85,Male,53,Clothing,2,30,8.1,60
736,"December 18, 2022",8:30:00,97,Male,29,Clothing,4,25,9.75,100
929,"March 11, 2022",10:18:00,40,Female,23,Beauty,3,25,10.5,75
1415,"March 6, 2022",7:11:00,146,Male,53,Clothing,2,30,15.3,60
1736,"August 28, 2022",8:57:00,87,Male,29,Clothing,4,25,10.25,100
1929,"September 15, 2022",6:50:00,62,Female,23,Beauty,3,25,12.75,75
264,"December 26, 2022",11:03:00,111,Male,47,Clothing,3,300,150,900
913,"October 12, 2022",10:52:00,78,Male,29,Electronics,3,30,16.5,90
940,"January 5, 2022",8:11:00,46,Female,20,Electronics,1,30,9.6,30
1264,"May 27, 2022",9:23:00,82,Male,47,Clothing,3,300,123,900
1913,"June 23, 2022",7:10:00,101,Male,29,Electronics,3,30,14.1,90
1940,"June 15, 2022",9:47:00,56,Female,20,Electronics,1,30,11.1,30
101,"January 8, 2022",8:46:00,24,Male,32,Clothing,2,300,135,600
1101,"May 17, 2022",7:47:00,15,Male,32,Clothing,2,300,132,600
189,"January 2, 2022",9:44:00,143,Male,63,Beauty,1,50,14.5,50
317,"May 4, 2022",7:54:00,117,Male,22,Electronics,3,30,12,90
322,"October 19, 2022",6:11:00,13,Male,51,Electronics,1,500,125,500
329,"October 27, 2022",7:42:00,52,Female,46,Electronics,4,25,8,100
1189,"December 7, 2022",6:08:00,104,Male,63,Beauty,1,50,20.5,50
1317,"August 25, 2022",8:02:00,144,Male,22,Electronics,3,30,12,90
1322,"November 14, 2022",9:56:00,10,Male,51,Electronics,1,500,250,500
1329,"January 27, 2022",10:39:00,119,Female,46,Electronics,4,25,9.25,100
235,"March 10, 2022",10:13:00,132,Female,23,Electronics,2,500,275,1000
300,"January 8, 2022",9:41:00,138,Female,19,Electronics,4,50,26.5,200
964,"August 26, 2022",8:18:00,15,Male,24,Clothing,3,300,156,900
1235,"April 4, 2022",6:44:00,87,Female,23,Electronics,2,500,220,1000
1300,"August 8, 2022",8:57:00,7,Female,19,Electronics,4,50,24,200
1964,"August 2, 2022",8:27:00,115,Male,24,Clothing,3,300,111,900
269,"September 19, 2022",11:31:00,87,Male,25,Clothing,4,500,250,2000
320,"April 20, 2022",8:35:00,57,Female,28,Electronics,4,300,159,1200
673,"July 4, 2022",10:14:00,18,Female,43,Clothing,3,500,270,1500
1269,"January 1, 2022",8:09:00,71,Male,25,Clothing,4,500,145,2000
1320,"November 2, 2022",11:55:00,102,Female,28,Electronics,4,300,84,1200
1673,"June 14, 2022",7:36:00,42,Female,43,Clothing,3,500,185,1500
142,"April 8, 2022",10:05:00,61,Male,35,Electronics,4,300,138,1200
223,"January 15, 2022",11:18:00,61,Female,64,Clothing,1,25,12,25
666,"March 3, 2022",10:59:00,49,Male,51,Electronics,3,50,16,150
1142,"November 9, 2022",9:49:00,2,Male,35,Electronics,4,300,114,1200
1223,"February 20, 2022",7:40:00,106,Female,64,Clothing,1,25,9.75,25
1666,"December 8, 2022",10:10:00,125,Male,51,Electronics,3,50,21,150
107,"October 6, 2022",9:18:00,75,Female,21,Clothing,4,300,78,1200
933,"September 19, 2022",7:53:00,81,Male,22,Beauty,1,30,12.9,30
1107,"December 31, 2022",11:14:00,62,Female,21,Clothing,4,300,102,1200
1933,"January 12, 2022",11:04:00,121,Male,22,Beauty,1,30,14.4,30
237,"April 11, 2022",8:54:00,105,Female,50,Beauty,2,500,165,1000
335,"February 2, 2022",9:23:00,2,Female,47,Beauty,4,30,10.8,120
1237,"February 23, 2022",9:20:00,48,Female,50,Beauty,2,500,215,1000
1335,"May 27, 2022",8:45:00,117,Female,47,Beauty,4,30,8.7,120
63,"February 3, 2022",11:49:00,127,Male,57,Electronics,2,25,6.25,50
195,"August 14, 2022",11:51:00,10,Male,52,Clothing,1,30,9.3,30
333,"October 6, 2022",8:15:00,21,Female,54,Electronics,4,300,99,1200
379,"June 1, 2022",7:28:00,76,Female,47,Clothing,1,25,8.5,25
490,"January 27, 2022",6:07:00,43,Male,34,Clothing,3,50,18.5,150
530,"May 1, 2022",7:52:00,8,Female,18,Electronics,4,30,9,120
740,"December 1, 2022",6:58:00,33,Female,25,Beauty,4,50,13,200
793,"May 27, 2022",10:53:00,1,Male,54,Beauty,1,30,14.7,30
1063,"August 4, 2022",10:26:00,56,Male,57,Electronics,2,25,11,50
1195,"September 21, 2022",7:07:00,55,Male,52,Clothing,1,30,12,30
1333,"November 1, 2022",11:38:00,151,Female,54,Electronics,4,300,165,1200
1379,"January 2, 2022",6:23:00,69,Female,47,Clothing,1,25,7.25,25
1490,"October 26, 2022",7:15:00,155,Male,34,Clothing,3,50,17,150
1530,"December 10, 2022",8:17:00,93,Female,18,Electronics,4,30,12.3,120
1740,"July 16, 2022",6:01:00,66,Female,25,Beauty,4,50,27,200
1793,"December 11, 2022",6:05:00,88,Male,54,Beauty,1,30,10.8,30
85,"September 3, 2022",8:05:00,68,Male,31,Clothing,3,50,19,150
232,"August 12, 2022",7:14:00,150,Female,43,Beauty,1,25,12.75,25
240,"November 5, 2022",11:49:00,95,Female,23,Beauty,1,300,123,300
993,"September 7, 2022",9:21:00,134,Female,48,Electronics,3,50,17,150
1085,"August 12, 2022",9:29:00,76,Male,31,Clothing,3,50,17,150
1232,"May 23, 2022",8:05:00,146,Female,43,Beauty,1,25,6.25,25
1240,"August 7, 2022",7:42:00,144,Female,23,Beauty,1,300,90,300
1993,"December 29, 2022",11:53:00,123,Female,48,Electronics,3,50,26.5,150
366,"October 29, 2022",9:32:00,116,Male,57,Clothing,2,50,17.5,100
372,"June 19, 2022",11:45:00,27,Female,24,Beauty,3,500,140,1500
596,"February 12, 2022",8:44:00,87,Female,64,Electronics,1,300,93,300
936,"January 5, 2022",10:51:00,143,Male,57,Beauty,4,50,19.5,200
1366,"January 1, 2022",11:34:00,25,Male,57,Clothing,2,50,23.5,100
1372,"March 18, 2022",10:53:00,60,Female,24,Beauty,3,500,145,1500
1596,"March 28, 2022",6:22:00,7,Female,64,Electronics,1,300,141,300
1936,"June 19, 2022",11:32:00,60,Male,57,Beauty,4,50,12.5,200
284,"November 12, 2022",9:17:00,129,Male,43,Clothing,4,50,20.5,200
434,"October 26, 2022",6:09:00,50,Female,43,Electronics,2,25,8.25,50
775,"May 6, 2022",11:07:00,98,Female,46,Electronics,4,25,9.5,100
977,"July 26, 2022",8:35:00,46,Female,35,Electronics,3,25,13.75,75
1284,"December 16, 2022",11:43:00,145,Male,43,Clothing,4,50,18,200
1434,"February 4, 2022",10:02:00,147,Female,43,Electronics,2,25,7,50
1775,"December 18, 2022",8:04:00,78,Female,46,Electronics,4,25,13.75,100
1977,"August 5, 2022",10:46:00,63,Female,35,Electronics,3,25,12,75
649,"June 21, 2022",8:17:00,44,Female,58,Clothing,2,300,135,600
1649,"October 21, 2022",7:44:00,72,Female,58,Clothing,2,300,75,600
54,"October 20, 2022",10:17:00,142,Female,38,Electronics,3,500,200,1500
68,"December 15, 2022",9:06:00,146,Male,25,Electronics,1,300,84,300
192,"November 8, 2022",8:05:00,134,Male,62,Beauty,2,50,13,100
1054,"January 10, 2022",9:24:00,49,Female,38,Electronics,3,500,140,1500
1068,"September 14, 2022",10:11:00,136,Male,25,Electronics,1,300,111,300
1192,"March 29, 2022",8:41:00,37,Male,62,Beauty,2,50,20.5,100
331,"August 16, 2022",8:33:00,28,Male,28,Electronics,3,30,10.2,90
346,"September 5, 2022",6:54:00,38,Male,59,Clothing,2,500,215,1000
657,"January 29, 2022",8:53:00,46,Male,40,Clothing,1,25,8,25
732,"October 13, 2022",8:45:00,136,Male,61,Electronics,2,500,250,1000
972,"August 16, 2022",11:42:00,139,Male,49,Beauty,4,25,6.75,100
1331,"May 15, 2022",9:29:00,36,Male,28,Electronics,3,30,13.8,90
1346,"April 10, 2022",10:01:00,112,Male,59,Clothing,2,500,130,1000
1657,"August 9, 2022",10:05:00,61,Male,40,Clothing,1,25,8,25
1732,"February 25, 2022",7:05:00,55,Male,61,Electronics,2,500,215,1000
1972,"December 21, 2022",6:39:00,5,Male,49,Beauty,4,25,9.25,100
714,"October 29, 2022",8:50:00,20,Female,18,Clothing,1,500,190,500
1714,"November 23, 2022",6:07:00,111,Female,18,Clothing,1,500,245,500
193,"March 27, 2022",10:40:00,55,Male,35,Beauty,3,500,180,1500
577,"April 21, 2022",11:55:00,45,Male,21,Beauty,4,500,215,2000
848,"January 24, 2022",10:46:00,15,Female,63,Clothing,3,25,9.75,75
945,"October 1, 2022",10:01:00,120,Male,30,Beauty,1,25,13.25,25
1193,"May 11, 2022",11:31:00,50,Male,35,Beauty,3,500,145,1500
1577,"September 11, 2022",6:22:00,145,Male,21,Beauty,4,500,160,2000
1848,"December 27, 2022",10:16:00,63,Female,63,Clothing,3,25,12.5,75
1945,"April 19, 2022",9:55:00,33,Male,30,Beauty,1,25,10.75,25
11,"February 27, 2022",10:30:00,151,Male,23,Clothing,2,50,23.5,100
821,"November 23, 2022",11:27:00,40,Male,49,Electronics,1,300,129,300
1011,"April 1, 2022",6:48:00,15,Male,23,Clothing,2,50,19,100
1821,"October 3, 2022",7:17:00,42,Male,49,Electronics,1,300,108,300
133,"June 23, 2022",9:01:00,70,Male,20,Electronics,3,300,87,900
1133,"March 5, 2022",6:42:00,58,Male,20,Electronics,3,300,159,900
16,"June 25, 2022",10:33:00,82,Male,19,Clothing,3,500,180,1500
42,"December 8, 2022",8:29:00,63,Male,22,Clothing,3,300,147,900
292,"October 10, 2022",6:33:00,111,Male,20,Beauty,4,300,141,1200
416,"August 21, 2022",9:29:00,55,Male,53,Electronics,4,500,245,2000
584,"December 31, 2022",10:21:00,106,Female,27,Beauty,4,50,16.5,200
861,"September 30, 2022",8:57:00,22,Female,41,Clothing,3,30,9.6,90
1016,"December 12, 2022",7:39:00,52,Male,19,Clothing,3,500,200,1500
1042,"February 11, 2022",6:21:00,7,Male,22,Clothing,3,300,150,900
1292,"May 15, 2022",8:20:00,88,Male,20,Beauty,4,300,90,1200
1416,"December 29, 2022",10:47:00,111,Male,53,Electronics,4,500,125,2000
1584,"September 3, 2022",11:07:00,62,Female,27,Beauty,4,50,16.5,200
1861,"July 4, 2022",10:41:00,145,Female,41,Clothing,3,30,10.2,90
256,"January 9, 2022",8:05:00,3,Male,23,Clothing,2,500,270,1000
1256,"November 5, 2022",9:58:00,29,Male,23,Clothing,2,500,190,1000
44,"March 3, 2022",11:07:00,93,Female,22,Clothing,1,25,11.75,25
257,"December 10, 2022",8:49:00,130,Male,19,Beauty,4,500,165,2000
1044,"February 20, 2022",9:08:00,70,Female,22,Clothing,1,25,7.5,25
1257,"May 10, 2022",11:55:00,29,Male,19,Beauty,4,500,255,2000
268,"April 14, 2022",8:26:00,93,Female,28,Electronics,1,30,8.7,30
287,"August 26, 2022",11:07:00,88,Male,54,Clothing,4,25,10,100
966,"November 7, 2022",7:22:00,119,Male,60,Electronics,2,500,190,1000
1268,"June 9, 2022",9:33:00,15,Female,28,Electronics,1,30,14.1,30
1287,"September 13, 2022",8:03:00,120,Male,54,Clothing,4,25,7,100
1966,"July 20, 2022",9:52:00,74,Male,60,Electronics,2,500,200,1000
70,"December 27, 2022",10:48:00,147,Female,43,Clothing,1,300,84,300
371,"December 18, 2022",10:01:00,32,Female,20,Beauty,1,25,13,25
900,"November 10, 2022",8:41:00,130,Male,21,Clothing,2,30,15.6,60
1070,"July 14, 2022",11:12:00,102,Female,43,Clothing,1,300,120,300
1371,"May 6, 2022",6:52:00,41,Female,20,Beauty,1,25,13.5,25
1900,"January 21, 2022",6:43:00,65,Male,21,Clothing,2,30,10.8,60
8,"December 27, 2022",11:19:00,148,Male,30,Electronics,4,25,11,100
41,"October 11, 2022",10:36:00,88,Male,34,Clothing,2,25,13.25,50
454,"March 12, 2022",7:20:00,13,Female,46,Beauty,1,25,13,25
780,"July 6, 2022",11:30:00,107,Male,52,Electronics,2,25,13.25,50
920,"August 20, 2022",10:25:00,99,Female,28,Beauty,3,25,6.75,75
1008,"January 10, 2022",8:51:00,116,Male,30,Electronics,4,25,13,100
1041,"May 10, 2022",7:27:00,74,Male,34,Clothing,2,25,11,50
1454,"June 25, 2022",11:18:00,22,Female,46,Beauty,1,25,6.75,25
1780,"December 11, 2022",10:00:00,32,Male,52,Electronics,2,25,10.5,50
1920,"October 24, 2022",8:33:00,23,Female,28,Beauty,3,25,9.25,75
396,"December 15, 2022",7:11:00,29,Female,55,Beauty,1,30,10.8,30
1396,"June 7, 2022",6:23:00,9,Female,55,Beauty,1,30,8.4,30
168,"April 29, 2022",9:20:00,138,Male,53,Clothing,1,300,102,300
400,"March 8, 2022",9:52:00,2,Male,53,Clothing,4,50,24,200
611,"July 21, 2022",8:13:00,11,Male,51,Beauty,3,500,180,1500
800,"September 19, 2022",7:33:00,111,Male,32,Clothing,4,300,87,1200
1168,"July 10, 2022",7:56:00,68,Male,53,Clothing,1,300,150,300
1400,"September 12, 2022",11:54:00,115,Male,53,Clothing,4,50,20,200
1611,"November 17, 2022",7:30:00,125,Male,51,Beauty,3,500,180,1500
1800,"August 21, 2022",10:53:00,1,Male,32,Clothing,4,300,111,1200
272,"June 10, 2022",11:57:00,112,Female,61,Electronics,2,50,27.5,100
473,"September 25, 2022",10:09:00,1,Male,64,Beauty,1,50,14.5,50
506,"April 29, 2022",7:13:00,9,Male,34,Beauty,3,500,200,1500
766,"January 4, 2022",8:02:00,128,Male,38,Electronics,3,300,165,900
1272,"April 14, 2022",11:59:00,66,Female,61,Electronics,2,50,17,100
1473,"March 19, 2022",9:06:00,30,Male,64,Beauty,1,50,13,50
1506,"January 9, 2022",7:31:00,52,Male,34,Beauty,3,500,245,1500
1766,"November 22, 2022",6:08:00,6,Male,38,Electronics,3,300,129,900
135,"April 18, 2022",7:22:00,104,Male,20,Clothing,2,25,13,50
1135,"January 14, 2022",8:16:00,124,Male,20,Clothing,2,25,12.5,50
2,"June 24, 2022",10:07:00,104,Female,26,Clothing,2,500,135,1000
158,"January 21, 2022",11:38:00,141,Female,44,Electronics,2,300,132,600
185,"June 27, 2022",9:48:00,57,Male,24,Clothing,1,25,7,25
433,"July 29, 2022",8:48:00,144,Male,29,Beauty,4,50,20,200
1002,"March 2, 2022",9:24:00,69,Female,26,Clothing,2,500,270,1000
1158,"February 24, 2022",9:29:00,77,Female,44,Electronics,2,300,138,600
1185,"October 4, 2022",10:28:00,153,Male,24,Clothing,1,25,10.25,25
1433,"January 16, 2022",11:41:00,113,Male,29,Beauty,4,50,15.5,200
152,"June 16, 2022",11:58:00,120,Male,43,Electronics,4,500,210,2000
753,"July 6, 2022",10:07:00,70,Female,32,Clothing,1,30,15.9,30
763,"April 23, 2022",9:43:00,58,Male,34,Clothing,2,25,11.5,50
932,"October 8, 2022",8:33:00,120,Female,45,Beauty,4,25,7.75,100
1152,"December 26, 2022",7:48:00,87,Male,43,Electronics,4,500,170,2000
1753,"July 17, 2022",7:40:00,28,Female,32,Clothing,1,30,10.5,30
1763,"June 30, 2022",11:37:00,93,Male,34,Clothing,2,25,13.5,50
1932,"November 8, 2022",7:07:00,96,Female,45,Beauty,4,25,6.25,100
399,"December 7, 2022",9:25:00,136,Female,64,Beauty,2,30,12.9,60
500,"October 14, 2022",6:11:00,120,Female,60,Beauty,4,25,11.5,100
514,"November 4, 2022",8:35:00,139,Female,18,Electronics,1,300,96,300
1399,"January 28, 2022",9:32:00,15,Female,64,Beauty,2,30,16.2,60
1500,"April 20, 2022",8:36:00,53,Female,60,Beauty,4,25,8.5,100
1514,"July 12, 2022",10:55:00,59,Female,18,Electronics,1,300,75,300
947,"July 31, 2022",7:09:00,4,Male,50,Beauty,1,300,129,300
1947,"March 5, 2022",6:27:00,134,Male,50,Beauty,1,300,75,300
220,"May 7, 2022",6:44:00,138,Male,64,Beauty,1,500,140,500
339,"August 18, 2022",10:27:00,33,Female,22,Electronics,2,25,10.25,50
785,"October 19, 2022",6:09:00,88,Female,31,Beauty,4,50,13,200
885,"September 17, 2022",10:10:00,121,Female,52,Clothing,4,30,14.4,120
888,"December 1, 2022",6:03:00,63,Female,52,Electronics,4,25,12.75,100
1220,"June 29, 2022",11:16:00,47,Male,64,Beauty,1,500,240,500
1339,"November 10, 2022",10:34:00,132,Female,22,Electronics,2,25,7.5,50
1785,"February 20, 2022",11:17:00,144,Female,31,Beauty,4,50,17,200
1885,"November 9, 2022",7:32:00,148,Female,52,Clothing,4,30,10.8,120
1888,"June 14, 2022",8:10:00,49,Female,52,Electronics,4,25,12.5,100
621,"April 13, 2022",9:55:00,138,Female,40,Beauty,2,500,275,1000
1621,"September 22, 2022",10:49:00,2,Female,40,Beauty,2,500,160,1000
52,"September 19, 2022",9:42:00,55,Female,36,Beauty,1,300,111,300
536,"August 20, 2022",6:25:00,17,Female,55,Beauty,4,30,8.7,120
1052,"February 12, 2022",6:12:00,94,Female,36,Beauty,1,300,120,300
1536,"May 11, 2022",7:23:00,14,Female,55,Beauty,4,30,13.5,120
197,"April 3, 2022",11:57:00,14,Female,42,Clothing,4,50,25.5,200
750,"November 13, 2022",7:33:00,69,Female,35,Clothing,3,25,8.75,75
910,"August 21, 2022",6:29:00,138,Female,20,Beauty,3,50,22.5,150
917,"February 15, 2022",11:50:00,120,Female,57,Electronics,4,50,16.5,200
1197,"August 13, 2022",10:07:00,77,Female,42,Clothing,4,50,19,200
1750,"January 20, 2022",10:10:00,138,Female,35,Clothing,3,25,7.25,75
1910,"October 9, 2022",6:22:00,141,Female,20,Beauty,3,50,18,150
1917,"May 2, 2022",7:17:00,52,Female,57,Electronics,4,50,24,200
198,"May 21, 2022",11:42:00,30,Female,54,Beauty,3,300,114,900
444,"October 6, 2022",7:06:00,51,Female,61,Clothing,3,30,15.9,90
547,"November 14, 2022",7:36:00,3,Male,63,Clothing,4,500,250,2000
705,"September 30, 2022",7:28:00,37,Male,60,Electronics,2,25,6.25,50
1198,"August 7, 2022",10:43:00,147,Female,54,Beauty,3,300,159,900
1444,"April 29, 2022",6:18:00,135,Female,61,Clothing,3,30,14.1,90
1547,"August 11, 2022",6:39:00,142,Male,63,Clothing,4,500,235,2000
